lake,date,ndvi_mean,ndwi_mean,water_coverage
Atitlan,2025-02-07,-4914.515625,1783.9884033203125,0.20235741016117778
Atitlan,2025-02-25,-5649.544921875,-0.14258383214473724,0.07673898641934415
Atitlan,2025-02-27,-37.72613525390625,-0.1339433640241623,0.3979681872960611
Atitlan,2025-03-02,-6154.75439453125,-0.19582442939281464,0.03604159472278407
Atitlan,2025-03-04,-302.85577392578125,-0.29628604650497437,0.24947865645239722
Atitlan,2025-03-07,-486.4003601074219,-0.18017469346523285,0.061439077332919874
Atitlan,2025-03-09,-0.10635501891374588,-0.2316076010465622,0.27275182708096946
Atitlan,2025-03-12,-0.028654346242547035,-0.1476403772830963,0.0735252972310121
Atitlan,2025-03-14,-2.4727158546447754,-0.3002277612686157,0.23836870035872101
Atitlan,2025-03-22,16.7761287689209,25.39812660217285,0.039812041467866634
Atitlan,2025-03-24,-0.1167539730668068,-0.22053754329681396,0.3008263268801139
Atitlan,2025-04-03,-316.43182373046875,-0.08799077570438385,0.04200577195492378
Atitlan,2025-04-11,-0.012608645483851433,-0.1305014193058014,0.04411651737576906
Atitlan,2025-04-13,-0.046151552349328995,-0.4096497595310211,0.21623476845228448
Atitlan,2025-04-15,-51.59232711791992,-0.35335755348205566,0.21648460459642124
Atitlan,2025-04-16,-0.025780722498893738,-0.23456162214279175,0.03682352194963811
Atitlan,2025-04-18,-286.2987976074219,-0.2953726649284363,0.22893236452820082
Atitlan,2025-04-28,-59.197654724121094,3.6861965656280518,0.21875321545107934
Atitlan,2025-05-03,-0.07461586594581604,-0.07960544526576996,0.05599131035357629
Atitlan,2025-05-13,-0.06433701515197754,-0.31663408875465393,0.24645507530322144
Atitlan,2025-07-10,0.04683755338191986,-0.21315716207027435,0.0464704037549421
Atitlan,2025-07-17,-0.011603059247136116,-0.24056394398212433,0.03021202596322581
Atitlan,2025-07-20,-0.011350643821060658,-0.26557472348213196,0.04530350334406912
Amatitlan,2025-02-02,-0.027866272255778313,-0.16330264508724213,0.005639165030273278
Amatitlan,2025-02-07,-0.02692803367972374,-0.21226327121257782,0.0032906848306332843
Amatitlan,2025-02-12,-0.020035946741700172,-0.08731734752655029,0.10578899729995091
Amatitlan,2025-02-22,-0.01620037853717804,-0.013082083314657211,0.20097851210931109
Amatitlan,2025-02-27,0.014730238355696201,-0.3100425899028778,0.10737936712485681
Amatitlan,2025-03-04,0.07419148087501526,-0.40201669931411743,0.061032359679266894
Amatitlan,2025-03-09,-0.006015900522470474,-0.24317026138305664,0.13123107920144003
Amatitlan,2025-03-14,-0.02546531707048416,-0.24003301560878754,0.2036542709867452
Amatitlan,2025-03-19,0.00183142872992903,-0.13541805744171143,0.026088968663066602
Amatitlan,2025-03-24,0.08380286395549774,-0.32438793778419495,0.04365079365079365
Amatitlan,2025-03-26,-0.018125414848327637,-0.15892013907432556,0.0014791462117493045
Amatitlan,2025-04-03,-0.0008327894029207528,-0.3336730897426605,0.07327334928816888
Amatitlan,2025-04-13,-0.017999982461333275,-0.18704421818256378,0.0020442133038782524
Amatitlan,2025-04-15,-0.022959094494581223,-0.38819441199302673,0.06939714244804451
Amatitlan,2025-04-18,-0.020282328128814697,-0.3786647319793701,0.07329380420553101
Amatitlan,2025-04-28,0.036002010107040405,-0.388906866312027,0.06904557355588284
Amatitlan,2025-05-03,-0.03736644983291626,-0.3777790367603302,0.06916318933071511
Amatitlan,2025-05-13,-0.002341659739613533,-0.2243412435054779,0.1170187469317624
Amatitlan,2025-06-14,-0.04505035653710365,-0.20644760131835938,0.010423058828342333
Amatitlan,2025-07-17,-0.035290658473968506,-0.23408283293247223,0.0070454405989199805
Amatitlan,2025-07-22,-0.008235927671194077,-0.17683109641075134,0.008638367288496155
Amatitlan,2025-07-24,-0.03127530217170715,-0.1799672394990921,0.007482664457535592
Amatitlan,2025-07-27,-0.009365227073431015,-0.10521437972784042,0.05650926607756505
