lake,date,mean_chla,median,std,p10,p50,p90,min,max,coverage
Atitlan,2025-02-07,11.993535995483398,4.813329696655273,29.335296630859375,0.40756940841674805,4.813329696655273,21.41470718383789,-4.996635437011719,293.19500732421875,0.10144492681104776
Atitlan,2025-02-27,3.3484013080596924,3.621938705444336,1.1787216663360596,2.0453078746795654,3.621938705444336,4.398536205291748,-4.999456405639648,62.75132751464844,0.22709365507812224
Atitlan,2025-03-04,3.1860644817352295,3.598156452178955,1.45015287399292,1.4930052757263184,3.598156452178955,4.388078689575195,-4.998644828796387,70.52993774414062,0.12340037915894371
Atitlan,2025-03-09,3.3055717945098877,3.60648775100708,1.222824215888977,2.0056591033935547,3.60648775100708,4.30883264541626,-4.998644828796387,46.07735061645508,0.21009140690520323
Atitlan,2025-03-14,2.904325008392334,3.374856472015381,1.653204083442688,0.8730573654174805,3.374856472015381,4.300291538238525,-4.998644828796387,130.4953155517578,0.20081240794119512
Atitlan,2025-03-24,2.73736572265625,3.1821835041046143,1.590483546257019,0.7178459167480469,3.1821835041046143,4.144513130187988,-4.998644828796387,72.32421875,0.19714820322355578
Atitlan,2025-04-13,2.896022319793701,3.310230255126953,1.512831211090088,1.074580192565918,3.310230255126953,4.214254379272461,-4.990738868713379,117.17388916015625,0.16254501631511067
Atitlan,2025-04-15,3.1539390087127686,3.667954921722412,1.9530322551727295,0.9299893379211426,3.667954921722412,4.593636512756348,-4.990738868713379,248.646240234375,0.20252108983529843
Atitlan,2025-04-18,2.8422324657440186,3.466635227203369,2.440586566925049,0.0,3.466635227203369,4.601612567901611,-4.990738868713379,277.5482177734375,0.17391414657523627
Atitlan,2025-04-28,3.1644656658172607,3.727898120880127,1.8569573163986206,0.7841200828552246,3.727898120880127,4.654987812042236,-4.998644828796387,86.77788543701172,0.13805314568019564
Atitlan,2025-05-13,3.272451400756836,3.772423267364502,1.6548609733581543,1.3741521835327148,3.772423267364502,4.5621867179870605,-4.990738868713379,196.9979248046875,0.11901996574883891
