lake,date,value,prominence
Amatitlan,2025-03-01,46.063412148611896,44.104064542906634
Amatitlan,2025-03-29,29.42791289602007,18.307268708092828
Amatitlan,2025-04-26,21.896625355311805,15.091028131757467
Atitlan,2025-03-15,8.272699117660524,4.762964401926315
Atitlan,2025-07-12,4.472270043934284,2.006546380365787
